,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Kahve Grubu Fiyat Listesi-28.10.2025,,,,,,,,,
Ürün Kodu,Ürün Adı,Ambalaj,Miktar,Koli İçi Adet,Liste Fiyatı,Koli Fiyatı,İskonto,Distribütör Alış Fiyatı,Palet içi Adet
Espresso,,,,,,,,,
MM10120,Premıum Çekirdek Kahve-1000 Gr,Poşet,1000 GR,6,"21,38","128,25",20%,"17,10",405
MM10119,Platınum Blend Çekirdek Kahve-1000 Gr,Poşet,1000 GR,6,"19,40","116,38",20%,"15,52",405
MM10117,Classıc Green Blend Çekirdek Kahve-1000 Gr,Poşet,1000 GR,6,"17,44","104,63",20%,"13,95",405
MM11048,Classıc Blue Blend Çekirdek Kahve-1000 Gr,Poşet,1000 GR,6,"15,02","90,13",20%,"12,02",405
Filtre Kahve,,,,,,,,,
MM10611,Filtre Kahve Sade-500 Gr,Poşet,500 GR,10,"11,27","112,71",20%,"9,02",810
MM10312,Filtre Kahve Special-500 Gr,Poşet,500 GR,10,"8,85","88,54",20%,"7,08",810
Türk Kahvesi,,,,,,,,,
MM10122,Türk Kahvesi Gurme Poşet-500 Gr.,Poşet,500 GR,10,"8,19","81,88",15%,"6,96",810
MM11047,Türk Kahvesi Klasik 1000 Gr,Poşet,1000 GR,8,"13,59","108,72",15%,"11,55",486
MM10288,Türk Kahvesi Geleneksel Poşet-750 Gr.,Poşet,750 GR,8,"12,31","98,49",15%,"10,46",648
MM10619,Türk Kahvesi Damla Sakızlı Poşet-500 Gr,Poşet,500 GR,10,"8,33","83,30",15%,"7,08",810
Diğer Kahve Çeşitleri,,,,,,,,,
MM10620,Dibek Kahvesi Poşet-500 Gr,Poşet,500 GR,10,"4,96","49,58",20%,"3,97",810
MM10618,Osmanlı Kahvesi Poşet-500 Gr,Poşet,500 GR,10,"5,15","51,46",20%,"4,12",810
MM10577,Toz Menengiç Poşet-500 Gr,Poşet,500 GR,10,"6,98","69,79",20%,"5,58",810
Sıcak Çikolata,,,,,,,,,
MM10460,Sıcak Çikolata (Kavanoz)-1000 Gr,Kavanoz,1000 GR,8,"11,21","89,67",25%,"8,41",720
MM10320,Beyaz Sıcak Çikolata (Kavanoz) 1000 Gr,Kavanoz,1000 GR,8,"8,54","68,33",25%,"6,41",720
MM11274,Chai Tea Latte (Kavanoz) 1000 Gr,Kavanoz,1000 GR,8,"9,48","75,83",25%,"7,11",720
Salep,,,,,,,,,
MM10461,Salep (Kavanoz)-1000 Gr,Kavanoz,1000 GR,8,"7,40","59,17",25%,"5,55",720
MM10462,Salep Tarçınsız (Kavanoz)-1000 Gr,Kavanoz,1000 GR,8,"7,40","59,17",25%,"5,55",720
Frappe,,,,,,,,,
MM10451,Çikolata Frappe (Kavanoz)-1000 Gr,Poşet,1000 GR,8,"8,75","70,00",25%,"6,56",720
MM10458,Kahve Frappe (Kavanoz)-1000 Gr,Poşet,1000 GR,8,"8,44","67,50",25%,"6,33",720
MM10454,Kırmızı Orman Meyveli Frappe (Kavanoz)-1000 Gr,Poşet,1000 GR,8,"6,98","55,83",25%,"5,23",720
MM10455,Çilek Frappe (Kavanoz)-1000 Gr,Poşet,1000 GR,8,"6,98","55,83",25%,"5,23",720
MM10442,Vanilya Frappe (Plastik)-1000 Gr,Poşet,1000 GR,8,"6,98","55,83",25%,"5,23",720
MM10456,Muz Frappe (Kavanoz)-1000 Gr,Poşet,1000 GR,8,"6,98","55,83",25%,"5,23",720
MM10453,Böğürtlen Frappe (Kavanoz)-1000 Gr,Poşet,1000 GR,8,"6,98","55,83",25%,"5,23",720
MM10457,Mango Frappe (Kavanoz)-1000 Gr,Poşet,1000 GR,8,"6,98","55,83",25%,"5,23",720
MM10459,Oreo Frappe (Kavanoz)-1000 Gr,Poşet,1000 GR,8,"6,98","55,83",25%,"5,23",720
MM10452,Karamel Frappe (Kavanoz)-1000 Gr,Poşet,1000 GR,8,"6,98","55,83",25%,"5,23",720
Bitki Çayı,,,,,,,,,
MM10292,Nane - Limon (Poşet),Poşet,200 GR,8,"6,46","51,67",25%,"4,84",576
MM10294,Papatya (Poşet),Poşet,200 GR,10,"8,85","88,54",25%,"6,64",720
MM10296,Yeşil Çay(Poşet),Poşet,200 GR,14,"5,83","81,67",25%,"4,38",1008
MM10298,Yaseminli Yeşil Çay (Poşet),Poşet,200 GR,10,"6,56","65,63",25%,"4,92",1008
Meyve Çayı,,,,,,,,,
MM10302,Kuşburnu(Poşet),Poşet,500 GR,10,"10,10","101,04",25%,"7,58",810
MM10305,Kış Çayı(Poşet),Poşet,500 GR,10,"10,10","101,04",25%,"7,58",810
MM10307,Kırmızı Orman Meyveleri(Poşet),Poşet,500 GR,10,"9,17","91,67",25%,"6,88",810
MM10306,Elma - Tarçın(Poşet),Poşet,500 GR,10,"7,29","72,92",25%,"5,47",810
Kokteyl Şurubu (Cam Şişe),,,,,,,,,
MM10956,Ananas Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10969,Bahçe Nanesi Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10972,Bergamot Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10946,Beyaz Çikolata Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM11189,Bodrum Mandalinası Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10967,Böğürtlen Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM11014,Bubble Gum Aromalı Şurup 70Cll,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10971,Cookıe Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10945,Çikolata Aromalı Şurup 70Cl,Cam,700ML,6,"4,71","28,25",25%,"3,53",630
MM10944,Çilek Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM11045,Düşes Armudu Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10948,Fındık Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10959,Frambuaz Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10951,Hindistan Cevizi Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10965,İrlanda Kreması Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10966,Karadut Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10947,Karamel Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10955,Karpuz Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10960,Kavun Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM11013,Kayısı Çekirdeği Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10964,Kivi Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10970,Lavanta Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM10961,Mango Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM11017,Maple Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
MM11016,Mojıto Mıx Aromalı Şurup 70Cl,Cam,700ML,6,"4,50","27,00",25%,"3,38",630
