,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Sweet Heaven Otel Grubu Pasta Fiyat Listesi-28.10.2025,,,,,,,,,,,
 Ürün Kodu, Ürün Adı, Kutu Gramaj, Dilim Gramaj , Liste Fiyatı(Kutu), Liste Fiyatı(Dilim), Distribütör Fiyatı (Dilim)  , Distribütör Fiyatı   (Kutu), İskonto, Kutu İçi, Koli İçi, Palet İçi Adet
Otel Pastaları,,,,,,,,,,,
MM10913,Otel çikolatalı pasta (36 dilim),1440,40,"11,29","0,31","0,27","9,60",15%,36,6,420
MM10912,Otel frambuazlı pasta (36 dilim),1440,40,"9,67","0,27","0,23","8,22",15%,36,6,420
MM10915,Otel latte pasta (36 dilim),1680,47,"10,79","0,30","0,25","9,17",15%,36,6,420
MM10914,Otel red velvet pasta (36 dilim),1380,38,"9,50","0,26","0,22","8,08",15%,36,6,252
MM11198,Otel Karnaval Pasta (32 Dilim),1370,43,"10,50","0,33","0,28","8,93",15%,32,6,252
MM10918,Otel Fıstık Rüyası Pasta (36 Dilim),1440,40,"18,17","0,50","0,43","15,44",15%,36,6,252
MM10916,Otel Tiramisu Pasta (36 Dilim),1440,40,"8,50","0,24","0,20","7,23",15%,36,6,420
MM10984,Otel Mozaik Pasta (32 Dilim) ,2150,67,"15,25","0,48","0,41","12,96",15%,32,6,420
MM10926,Otel Browni (32 Dilim),1450,45,"20,15","0,63","0,54","17,12",15%,32,6,420
MM10927,Otel Ballı Cevizli Pasta (32 Dilim),1730,54,"10,71","0,33","0,28","9,10",15%,32,6,252
MM11196,Otel Elmalı Pay (32 Dilim),1068,33,"9,73","0,30","0,26","8,27",15%,32,6,252
MM11197,Otel Havuçlu Kek (32 Dilim),864,27,"7,52","0,24","0,20","6,39",15%,32,6,252
MM10917,Otel Red Black Pasta (36 Dilim),1560,43,"10,40","0,29","0,25","8,84",15%,36,6,420
MM10919,Otel Siyah Profiterollü Pasta (36 Dilim),1350,38,"13,23","0,37","0,31","11,24",15%,36,6,420
MM11215,Otel Frambuazlı Soğuk Cheesecake (32 Dilim),1020,32,"11,27","0,35","0,30","9,58",15%,32,6,420
MM11216,Otel Limonlu Soğuk Cheesecake (32 Dilim),1020,32,"11,06","0,35","0,29","9,40",15%,32,6,252
MM11213,Otel Çikolatalı Muffin (16 Adet),608,38,"7,19","0,45","0,38","6,11",15%,16,6,252
MM11214,Otel Vişneli Muffin (16 Adet),760,48,"7,65","0,48","0,41","6,50",15%,16,6,252
Otel Glutensiz ,,,,,,,,,,,
MM10790,Otel Glutensiz Frambuazlı Kup (16 Adet),810,50,"6,54","0,41","0,35","5,56",15%,16,6,
MM10799,Otel Glutensiz Çilekli Kup (16 Adet),810,50,"6,50","0,41","0,35","5,53",15%,16,6,
MM10800,Otel Glutensiz Çikolatalı Kup (16 Adet),810,50,"7,15","0,45","0,38","6,07",15%,16,6,
MM10824,Otel Glutensiz Vişneli Çikolatalı Kup (16 Adet),810,50,"7,19","0,45","0,38","6,11",15%,16,6,
MM10825,Otel Glutensiz Tiramisu Kup (16 Adet),810,50,"5,71","0,36","0,30","4,85",15%,16,6,
MM10831,Otel Glutensiz Havuçlu Kup (16 Adet),880,55,"5,81","0,36","0,31","4,94",15%,16,6,
MM10835,Otel Glutensiz Limonlu Cheesecake Kup (16 Adet),1160,72,"8,38","0,52","0,45","7,12",15%,16,6,
MM10841,Otel Glutensiz Bellavısta Kup (16 Adet),880,55,"5,88","0,37","0,31","4,99",15%,16,6,
MM10842,Otel Glutensiz Frambuazlı Cheesecake Kup (16 Adet),1160,72,"8,38","0,52","0,45","7,12",15%,16,6,
MM10848,Otel Glutensiz Yaban Mersinli Cheesecake Kup,960,60,"6,63","0,41","0,35","5,63",15%,16,6,
MM10849,Otel Glutensiz Frambuazlı Kakaolu Kup (16 Adet),1250,78,"5,40","0,34","0,29","4,59",15%,16,6,
MM10860,Otel Glutensiz Yer Fıstıklı Karamelli Kup(16 Adet),880,55,"7,15","0,45","0,38","6,07",15%,16,6,
MM10861,Otel Glutensiz Brownıe Kek(16 Adet),880,55,"6,94","0,43","0,37","5,90",15%,16,6,
MM10873,Otel Glutensiz Zeytinli Kek(16 Adet),880,55,"3,46","0,22","0,18","2,94",15%,16,6,
MM10874,Otel Glutensiz Çörekotlu Peynirli Kek(16 Adet),880,55,"3,60","0,23","0,19","3,06",15%,16,6,
MM10894,Otel Glutensiz Domatesli Fesleğenli Kek(16 Adet),880,55,"3,42","0,21","0,18","2,90",15%,16,6,
Açıklamalar;,,,,,,,,,,,
1- Fiyatlarımız KDV hariç fiyattır (KDV Oranı : %1 ),,,,,,,,,,,
2- Kutu Başı ± 50 gr  farklılık gösterebilir.,,,,,,,,,,,
3- Tarım ve Köy İşleri Bakanlığının TR-34-K-095890 ve 13.10.2014  tarihli izni ile üretilmiştir.,,,,,,,,,,,
4-Liste satış fiyatlarımız tavsiye niteliğindedir.,,,,,,,,,,,
