,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Sweet Heaven Pasta Fiyat Listesi 28.10.2025,,,,,,,,,,,
 Ürün Kodu, Ürün Adı, Kutu Gramaj, Dilim Gramaj , Liste Fiyatı(Kutu), Liste Fiyatı(Dilim), Distribütör Fiyatı (Dilim)  , Distribütör Fiyatı   (Kutu), İskonto, Kutu İçi, Koli İçi, Palet İçi Adet
Cheesecake,,,,,,,,,,,
MM10000,Frambuazlı Cheesecake (10  Dilim),1600,160,"17,40","1,74","1,25","12,53",28%,10,6,252
MM10001,Limonlu Cheesecake (10 Dilim),1600,160,"17,40","1,74","1,25","12,53",28%,10,6,252
MM10473,San Sebastıan Burnt Cheesecake (10 Dilim),1750,175,"23,19","2,32","1,67","16,70",28%,10,6,252
MM11190,Portolata (12 Dilim),1600,133,"21,63","1,80","1,30","15,57",28%,12,6,252
MM11123,Lotus Cheesecake (10 Dilim),1600,160,"17,27","1,73","1,24","12,44",28%,10,6,252
Dilim Pastalar,,,,,,,,,,,
MM10601,Yaban Mersinli Pasta (12 Dilim) *YENİ,1740,145,"19,75","1,65","1,19","14,22",28%,12,6,252
MM10056,Tiramisu (12  Dilim),1225,102,"14,38","1,20","0,86","10,35",28%,12,6,252
MM10030,Kare Tiramisu (9 Dilim),1585,176,"16,33","1,81","1,31","11,76",28%,9,6,252
MM10065,Kedi Dili Tiramisu (8 Dilim),1000,125,"14,58","1,82","1,31","10,50",28%,8,6,252
MM10060,Mozaik Pasta (14 Dilim),2140,153,"18,75","1,34","0,96","13,50",28%,14,4,192
MM10598,Çikolatalı Pasta (12 Dilim),1300,108,"16,83","1,40","1,01","12,12",28%,12,6,252
MM10050,Orman Meyveli Pasta (12 Dilim),1400,117,"20,10","1,68","1,21","14,48",28%,12,4,192
MM10053,Kara Orman Pasta (12 Dilim),1300,108,"17,19","1,43","1,03","12,38",28%,12,6,252
MM10793,Red Velvet Pasta (12 Dilim),1200,100,"15,42","1,28","0,93","11,10",28%,12,6,252
MM11003,Fıstık Rüyası (12 Dilim),1540,128,"24,17","2,01","1,45","17,40",28%,12,6,252
MM11004,Ballı Cevizli Pasta (12 Dilim),1640,137,"21,35","1,78","1,28","15,38",28%,12,6,252
MM10018,Browni (9 Dilim),1350,150,"18,96","2,11","1,52","13,65",28%,9,6,252
MM10796,Belçika Çikolatalı Pasta (12 Dilim),2200,183,"26,00","2,17","1,56","18,72",28%,12,4,192
MM11272,Almondy Cake (12 Dilim),1400,117,"20,83","1,74","1,25","15,00",28%,12,6,192
Kek & Kurabiye,,,,,,,,,,,
MM10324,Limonlu Kek (14 Dilim) *YENİ,2170,155,"14,29","1,02","0,74","10,29",28%,14,4,192
MM10600,Havuçlu Kek (12 Dilim),1690,141,"14,48","1,21","0,87","10,43",28%,12,4,192
MM10281,Mermer Kek (12 Dilim),1530,128,"13,73","1,14","0,82","9,89",28%,12,4,192
MM10278,Sweet Cookıe (20 Adet),1500,75,"14,27","0,71","0,51","10,28",28%,20,4,192
MM10284,Çikolatalı Sweet Cookıe (20 Adet),1500,75,"14,27","0,71","0,51","10,28",28%,20,4,192
MM10283,Yulaflı Cookie (20 Adet),1570,79,"14,46","0,72","0,52","10,41",28%,20,4,192
MM10936,Bardak Glutensiz Hindistan Cevizli Fındık Kremalı Kurabiye (80 Gram),720,80,"1,83",,,"1,32",28%,,9,1620
MM10977,Bardak Glutensiz Hindistan Cevizli Limon Kremalı Kurabiye (80 Gram),720,80,"1,98",,,"1,43",28%,,9,1620
MM11075,Bardak-Brownie (100 Gram Donuk),900,100,"1,92",,,"1,38",28%,,9,1296
MM11082,Bardak Tereyağlı Bardak Kurabiye 8 Oz (80 Gram),720,80,"0,85",,,"0,62",28%,,9,252
MM11158,Bardak Zeytinli Bardak Kurabiye 8 Oz (75 Gram),675,75,"0,96",,,"0,69",28%,,9,252
MM11159,Bardak Kakaolu Bardak Kurabiye 8 Oz (80 Gram),720,80,"0,96",,,"0,69",28%,,9,252
MM11160,Bardak Parça Çikolatalı Bardak Kurabiye 8 Oz (80 Gram),720,80,"0,92",,,"0,66",28%,,9,252
Trileçe,,,,,,,,,,,
MM10028,Karamelli Trileçe (9 Dilim),1850,206,"13,00","1,44","1,04","9,36",28%,9,6,288
Sufle,,,,,,,,,,,
MM10087,Sufle Büyük (Pişmiş 10 Adet),1400,140,"18,71","1,87","1,35","13,47",28%,10,6,252
Mono Pastalar,,,,,,,,,,,
MM10740,Kara Orman Meyveli Bar Kup (8 Adet) *YENİ,1680,210,"19,83","2,48","1,79","14,28",28%,8,6,252
MM10736,Çilekli Bar Kup (8 Adet) *YENİ,1680,210,"18,17","2,27","1,64","13,08",28%,8,6,252
